y,rule,order,draw,b3,lo,hi,n,b3_rlm,b3_rlm_se,slope_bsky,slope_bsky_se,slope_ts,slope_ts_se
depth,random,api,3.0,-0.01174110858100928,-0.014487243187687446,-0.008994973974331116,244129,-0.01340591689144342,0.0010690493874982092,0.2861138738828558,0.0013315353771416343,0.27437276530184496,0.00043596348888191513
depth,random,api,4.0,-0.012288243414083232,-0.015016438848157062,-0.009560047980009402,244129,-0.013969661518886454,0.0010687129305886115,0.28687210616066167,0.001322451068780765,0.2745838627465771,0.0004342928047541237
depth,random,api,5.0,-0.011926460525380963,-0.014635826177530786,-0.009217094873231139,244129,-0.013821547490571375,0.001066773021650006,0.2863900746641713,0.001311773821218642,0.2744636141387888,0.00043598629769327733
depth,random,api,6.0,-0.012024544110430956,-0.014764084776541612,-0.0092850034443203,244129,-0.013672868072499223,0.0010698464647561179,0.2867781035427953,0.0013280910564468405,0.2747535594323629,0.0004356705695836941
depth,random,api,7.0,-0.011436047784730457,-0.014153108275103198,-0.008718987294357716,244129,-0.013615900574856662,0.0010670080407970354,0.28567099073232044,0.0013164167685496022,0.27423494294758827,0.00043445459264504255
depth,random,api,8.0,-0.012118302708695046,-0.014867586649063564,-0.009369018768326529,244129,-0.01369627654305694,0.0010686594234663163,0.2869768842654768,0.0013337764539704843,0.27485858155678033,0.00043427655346160715
depth,random,api,9.0,-0.01224182073081429,-0.014948765841608182,-0.009534875620020398,244129,-0.014367510232961974,0.0010670350267655499,0.2865940621516698,0.0013107667669181445,0.27435224142085424,0.00043510038700405516
depth,random,api,10.0,-0.012396092680727657,-0.015136688717597787,-0.009655496643857528,244129,-0.014443662122234479,0.0010667335206700362,0.28698565244746416,0.0013301761195394647,0.2745895597667348,0.0004310124159672
depth,random,api,11.0,-0.011937457718045804,-0.014664757310211224,-0.009210158125880384,244129,-0.013553472086148158,0.0010683043576030682,0.286686857204291,0.0013212453414355666,0.2747493994862438,0.0004364924090496467
depth,random,api,12.0,-0.011679247712065095,-0.014412675440938293,-0.008945819983191897,244129,-0.013189617866571959,0.0010681047721382972,0.28636008258767814,0.0013247954179584772,0.2746808348756117,0.000435709710124259
depth,random,api,13.0,-0.012698335004810286,-0.015417855498569721,-0.00997881451105085,244129,-0.014432716593463187,0.0010685420065433204,0.28688910860598726,0.0013176800209276317,0.2741907736011754,0.0004346316002739592
depth,random,api,14.0,-0.012228521732448192,-0.014974578167098691,-0.009482465297797692,244129,-0.013597651258345372,0.0010670257752234062,0.286681432319779,0.0013317375502383494,0.2744529105873291,0.00043521714338379096
