y,rule,order,draw,b3,lo,hi,n
depth,last,api,,0.016067793569034594,0.00725214935573585,0.02488343778233334,4000
depth,last,rev,,0.04221084991743779,0.03274945795271184,0.05167224188216373,4000
depth,random,api,0.0,-0.025120758779980046,-0.035557730839806304,-0.01468378672015379,4000
depth,random,api,1.0,-0.01658289589115486,-0.027114897693150137,-0.00605089408915958,4000
depth,random,api,2.0,-0.023678756732160577,-0.03438401229475957,-0.012973501169561584,4000
depth,random,api,3.0,-0.0197730227634052,-0.030623690183884167,-0.008922355342926234,4000
depth,random,api,4.0,-0.018696601984258876,-0.02964071610927934,-0.007752487859238412,4000
depth,random,api,5.0,-0.02581106207980144,-0.03658257289811932,-0.015039551261483557,4000
depth,random,api,6.0,-0.016729968159874486,-0.026745513422150338,-0.0067144228975986354,4000
depth,random,api,7.0,-0.019741522461306504,-0.03051107459193856,-0.00897197033067445,4000
depth,random,api,8.0,-0.02266315834319721,-0.032916831730970465,-0.012409484955423955,4000
depth,random,api,9.0,-0.025899326358275354,-0.03638785426738927,-0.015410798449161442,4000
depth,random,api,10.0,-0.02459658938779863,-0.035767473704221134,-0.013425705071376125,4000
depth,random,api,11.0,-0.019283634533310945,-0.029530887921822194,-0.009036381144799694,4000
depth,random,api,12.0,-0.019557217202477883,-0.030211628423450113,-0.008902805981505654,4000
depth,random,api,13.0,-0.025381420188040626,-0.03611395443051417,-0.014648885945567085,4000
depth,random,api,14.0,-0.02415748922255051,-0.03427816123099926,-0.01403681721410176,4000
depth,random,api,15.0,-0.02009513988655559,-0.031153112290301616,-0.009037167482809565,4000
depth,random,api,16.0,-0.02011302245809904,-0.03063369740545881,-0.009592347510739268,4000
depth,random,api,17.0,-0.024758144779644276,-0.0352751280298967,-0.014241161529391854,4000
depth,random,api,18.0,-0.017966035500804167,-0.028563481686604643,-0.007368589315003692,4000
depth,random,api,19.0,-0.02764916141821977,-0.038329983882955256,-0.016968338953484284,4000
depth,random,rev,0.0,0.0002149218816803189,-0.009744878099229132,0.01017472186258977,4000
depth,random,rev,1.0,-0.00511794177814906,-0.016618825561788713,0.006382942005490593,4000
depth,random,rev,2.0,-0.014646736461090548,-0.02597121223938085,-0.0033222606828002457,4000
depth,random,rev,3.0,-0.010951105281595708,-0.02288118450771527,0.0009789739445238543,4000
depth,random,rev,4.0,-0.008397580722117659,-0.020161300543100277,0.0033661390988649585,4000
depth,random,rev,5.0,-0.010732180519099466,-0.021556910263170602,9.254922497166883e-05,4000
depth,random,rev,6.0,0.0019536849227742015,-0.008520329975579327,0.01242769982112773,4000
depth,random,rev,7.0,-0.0051729146901642875,-0.015954400890545645,0.00560857151021707,4000
depth,random,rev,8.0,-0.0036855417371084442,-0.01527138832405836,0.007900304849841472,4000
depth,random,rev,9.0,0.0007614310887957831,-0.009884780893488621,0.011407643071080187,4000
depth,random,rev,10.0,-0.008095618513953906,-0.019240805775953156,0.0030495687480453434,4000
depth,random,rev,11.0,0.0008732108885891599,-0.010706201878874336,0.012452623656052656,4000
depth,random,rev,12.0,0.0004988336387206083,-0.010369342527817042,0.011367009805258258,4000
depth,random,rev,13.0,-0.009647900056907632,-0.021439366075184284,0.002143565961369021,4000
depth,random,rev,14.0,-0.006002663447935985,-0.0180581671062748,0.006052840210402831,4000
depth,random,rev,15.0,0.0023334980849800124,-0.009119266741787284,0.013786262911747308,4000
depth,random,rev,16.0,-0.006950492510262585,-0.018607100018834474,0.004706114998309304,4000
depth,random,rev,17.0,-0.003642818992492858,-0.014932369219974324,0.007646731234988609,4000
depth,random,rev,18.0,-0.009023365062576172,-0.021159237677496945,0.0031125075523445993,4000
depth,random,rev,19.0,-0.007278916958414872,-0.01958198650709643,0.005024152590266687,4000
