scenario,draw,y,b3,n
per_platform,76,log_depth,-0.02259288175613387,120693
per_platform,85,log_breadth,0.0007162048403165922,120693
per_platform,85,log_depth,-3.41548681180572e-13,120693
per_platform,80,log_breadth,0.014829786547802109,120693
per_platform,80,log_depth,-9.60434502210595e-14,120693
per_platform,87,log_breadth,0.013190897282601656,120693
per_platform,87,log_depth,-0.010652715552387665,120693
per_platform,84,log_breadth,0.011189012024264533,120693
per_platform,84,log_depth,-0.008202215226482472,120693
per_platform,82,log_breadth,0.012556920285968332,120693
per_platform,82,log_depth,-0.019101377472273487,120693
per_platform,83,log_breadth,0.012033484452990642,120693
per_platform,83,log_depth,-0.01304361407308574,120693
per_platform,90,log_breadth,0.014636565820203118,120693
per_platform,90,log_depth,-0.019543657266584517,120693
per_platform,86,log_breadth,0.02152897278028809,120693
per_platform,86,log_depth,-0.02310296086376644,120693
per_platform,89,log_breadth,7.646010560802274e-15,120693
per_platform,89,log_depth,-1.2706558702206879e-14,120693
per_platform,93,log_breadth,0.01743799958165882,120693
per_platform,93,log_depth,-0.004389998256460528,120693
per_platform,88,log_breadth,0.011430570466287773,120693
per_platform,88,log_depth,-0.016693431461131024,120693
per_platform,91,log_breadth,0.0038536929941307627,120693
per_platform,91,log_depth,-0.012861303068084333,120693
per_platform,96,log_breadth,0.0015443219213735482,120693
per_platform,96,log_depth,-0.022905921986567712,120693
pooled,2,log_breadth,0.09541117043969953,120693
pooled,2,log_depth,-0.08376358149758968,120693
per_platform,95,log_breadth,0.021735396276356928,120693
per_platform,95,log_depth,-0.026860149232327733,120693
per_platform,92,log_breadth,0.02043446403109687,120693
per_platform,92,log_depth,-0.01583521644304607,120693
per_platform,99,log_breadth,0.03826258953289292,120693
per_platform,99,log_depth,-0.04882184690530369,120693
per_platform,98,log_breadth,8.575388663056849e-15,120693
per_platform,98,log_depth,-0.014061246923754754,120693
per_platform,94,log_breadth,0.03863791875937837,120693
per_platform,94,log_depth,-0.04308894008297739,120693
pooled,1,log_breadth,0.09790258289840756,120693
pooled,1,log_depth,-0.08614241582604226,120693
per_platform,97,log_breadth,0.0019765764794038576,120693
per_platform,97,log_depth,-1.8205189918020697e-12,120693
pooled,0,log_breadth,0.08995306410106595,120693
pooled,0,log_depth,-0.07993276978148432,120693
pooled,6,log_breadth,0.08638226874295862,120693
pooled,6,log_depth,-0.07845066907292723,120693
pooled,5,log_breadth,0.08513547141111166,120693
pooled,5,log_depth,-0.07707199264661663,120693
pooled,4,log_breadth,0.09646611782175035,120693
pooled,4,log_depth,-0.09226576094945564,120693
pooled,3,log_breadth,0.09016408235591422,120693
pooled,3,log_depth,-0.07732702859813537,120693
pooled,10,log_breadth,0.11796614863883546,120693
pooled,10,log_depth,-0.09339959505627127,120693
pooled,9,log_breadth,0.09739824117918387,120693
pooled,9,log_depth,-0.08505520170228044,120693
pooled,7,log_breadth,0.08172656608926279,120693
pooled,7,log_depth,-0.07974835766696016,120693
pooled,12,log_breadth,0.09904598314271826,120693
pooled,12,log_depth,-0.08761020437860734,120693
pooled,8,log_breadth,0.09834750420713802,120693
pooled,8,log_depth,-0.09049096420924795,120693
pooled,11,log_breadth,0.09221756663602573,120693
pooled,11,log_depth,-0.08165659406524067,120693
pooled,14,log_breadth,0.10182509859567355,120693
pooled,14,log_depth,-0.09187796420397921,120693
pooled,15,log_breadth,0.0931746647485277,120693
pooled,15,log_depth,-0.08765217778038932,120693
pooled,13,log_breadth,0.08868647374307191,120693
pooled,13,log_depth,-0.07645615050937847,120693
pooled,16,log_breadth,0.09581298119962867,120693
pooled,16,log_depth,-0.0879839734860457,120693
pooled,19,log_breadth,0.08973596875439127,120693
pooled,19,log_depth,-0.08950860531397598,120693
pooled,17,log_breadth,0.09254495834983249,120693
pooled,17,log_depth,-0.07925430309366611,120693
pooled,18,log_breadth,0.08468328933966188,120693
pooled,18,log_depth,-0.07869983650933222,120693
pooled,22,log_breadth,0.10129943492591945,120693
pooled,22,log_depth,-0.08934427213272893,120693
pooled,20,log_breadth,0.090192525091175,120693
pooled,20,log_depth,-0.08500163078386709,120693
pooled,25,log_breadth,0.11407498232183816,120693
pooled,25,log_depth,-0.09605413161172514,120693
pooled,26,log_breadth,0.08296109234071275,120693
pooled,26,log_depth,-0.07467195120895906,120693
pooled,21,log_breadth,0.1153312293708364,120693
pooled,21,log_depth,-0.09879202607929646,120693
pooled,23,log_breadth,0.09611993538402067,120693
pooled,23,log_depth,-0.08727386006043321,120693
pooled,24,log_breadth,0.09864291926318743,120693
pooled,24,log_depth,-0.0868229015540638,120693
pooled,28,log_breadth,0.10165657501337245,120693
pooled,28,log_depth,-0.08528087980878803,120693
pooled,27,log_breadth,0.08743155549828252,120693
pooled,27,log_depth,-0.08332594564705272,120693
pooled,29,log_breadth,0.10168579565216815,120693
pooled,29,log_depth,-0.0987290128559533,120693
pooled,32,log_breadth,0.09278295875360106,120693
pooled,32,log_depth,-0.08951776135109549,120693
pooled,30,log_breadth,0.1146300721542367,120693
pooled,30,log_depth,-0.0932388332639977,120693
pooled,35,log_breadth,0.07900350901704038,120693
pooled,35,log_depth,-0.07883983297097152,120693
pooled,34,log_breadth,0.08624857016214915,120693
pooled,34,log_depth,-0.08120326185544682,120693
pooled,31,log_breadth,0.08085627967142661,120693
pooled,31,log_depth,-0.07840811442555265,120693
pooled,33,log_breadth,0.1095179452806665,120693
pooled,33,log_depth,-0.0933060644170421,120693
pooled,36,log_breadth,0.09670950629558119,120693
pooled,36,log_depth,-0.08818037461468406,120693
pooled,39,log_breadth,0.08759646638276014,120693
pooled,39,log_depth,-0.07743914063125372,120693
pooled,37,log_breadth,0.08714848449931015,120693
pooled,37,log_depth,-0.07951862161531383,120693
pooled,41,log_breadth,0.10157421953798576,120693
pooled,41,log_depth,-0.09221343366765711,120693
pooled,38,log_breadth,0.11471986554569163,120693
pooled,38,log_depth,-0.09382093645367844,120693
